Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
fedbb58d-7ea4-4256-91ff-671f2dd10364,"2020-05-16, 03:38:07 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
98817f51-a3b8-4263-9dd4-43e893ddc999,"2020-05-16, 03:36:52 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
f4473fcb-6eea-4b0a-8642-28770c2ce5ac,"2020-05-16, 03:36:30 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,41.58.240.57
b2e73021-c055-489d-89db-9a58eb0b33b5,"2020-05-16, 03:32:43 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,41.58.240.57
3bfc9f68-ef44-441d-a100-c7b95aacda03,"2020-05-16, 03:32:42 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,41.58.240.57
d83cb735-8fd2-4266-850f-d090432bbf37,"2020-05-16, 03:32:41 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAZ2BPDLWAJK2WOMQMZ""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::674408652160:user/Accountant""}]",,us-east-1,,41.58.240.57
8bb1781f-99d8-4c59-b112-6dea8756bf0c,"2020-05-16, 03:28:21 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,41.58.240.57
0bb7b0f0-303f-4e1e-88eb-e2b82df5ded6,"2020-05-16, 03:28:20 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,41.58.240.57
155e144c-53c2-485f-ad7d-53d20f4e6f9c,"2020-05-16, 03:28:20 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAZ2BPDLWAIPIX2RCUD""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::674408652160:user/CloudTrail""}]",,us-east-1,,41.58.240.57
4a265065-aecf-4f7d-aa60-5c01c4a622bb,"2020-05-16, 03:25:48 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::674408652160:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAZ2BPDLWAOIB36GMTU""}]",,us-east-1,,41.58.240.57
7b28ec77-a389-44dd-88ac-fff33e8a42ba,"2020-05-16, 03:25:48 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,41.58.240.57
8e0d0fdd-b913-49be-8f7b-5da92ddd9810,"2020-05-16, 03:25:27 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,41.58.240.57
a78644e2-a02e-442f-b0a0-b37fdaf5b4df,"2020-05-16, 03:25:27 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,41.58.240.57
b2361c36-8a30-4196-aca9-b19edb223c47,"2020-05-16, 03:25:27 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::674408652160:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAZ2BPDLWAMFB4E4FB6""}]",,us-east-1,,41.58.240.57
76e78b6d-f05c-4841-a81c-a2cc57a6a73d,"2020-05-16, 03:17:05 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,41.58.240.57
5c28ebd4-600c-4911-8d1e-1b0a4322aba8,"2020-05-16, 03:16:04 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,41.58.240.57
